Cell Line,Condition ,Group,IL-6,IL-8,TNF-alpha ,HMGB1,NFKB,pNFKB Value,NAMPT,MyD88,2^(146),2^(181),SOD1,Catalase,2^(200),eNOS,peNOS,2^(126),p21,p38,pp38,2^(34),C3,CC3,2^(Let-7)
HUVEC 50-3,A008,CTL ,87.2,51.9,3.98,213.522899,808.3505315,74.6256502,29.61372952,22.95721981,0.003156817,0.089558358,153.9351937,417.4236589,0.000248737,78.33798604,308.8445404,2.248848269,138.1047763,224.5223485,5.530869968,0.022746423,114.0554843,95.20225138,0.278925593
HUVEC 50-3,A010,CTL ,75.8,55.5,3.34,300.2812974,754.8347317,76.23085994,40.27701423,27.59650935,0.005750919,0.094378385,198.3641632,461.3834337,0.000202869,97.08072125,260.3031824,2.096910155,135.2780224,224.734085,55.75843866,0.023891992,162.9042274,149.9787565,0.25515702
HUVEC 49-3,A015,CTL ,69,37.2,4.1,524.7032095,1138.937944,111.9323918,63.20313588,41.3075094,0.002450704,0.095220606,159.0987527,423.5006842,0.000148459,180.4134238,402.8299467,2.244185018,168.3968696,438.0587709,65.02195321,0.017540859,139.6286091,94.08387567,0.200096914
HUVEC 49-3,A020,CTL ,69.5,44.3,3.85,239.3544071,924.8999654,123.805625,71.12083429,19.3835449,0.004659592,0.120515274,102.9225554,291.30509,0.000284613,135.4754814,300.4039662,2.047993934,167.0859283,288.4616244,73.89270568,0.019923716,118.6711446,113.0707676,0.193476979
HUVEC 49-3,A021,CTL ,73.1,50.8,4.7,366.5348454,831.1243542,127.168251,128.5040546,42.40731512,0.005390215,0.133813739,160.4535584,518.9644252,0.000388546,162.8292221,274.2585706,2.251058792,174.537925,387.289385,45.20108738,0.021136018,281.2596507,88.22630401,0.207022602
HUVEC 49-3,A025,CTL ,73.3,46.5,3.87,207.7817813,252.9064471,130.7332254,154.0933242,31.52088815,0.006659036,0.150903907,156.507927,487.2962047,0.000379825,119.7661941,165.1891344,2.519749585,155.6727585,196.7285818,66.02565726,0.026792959,264.2257264,97.08975937,0.192715848
HUVEC 49-3,A026,CTL ,81.1,58.4,4.7,348.3484547,707.6687971,151.2962243,35.95253652,28.47829464,0.004473908,0.096097949,121.1018681,396.7190292,0.000131043,118.4725041,394.9995858,2.136986729,27.71611726,394.2291652,87.60389783,0.015838281,233.9584397,152.4397018,0.219103478
HUVEC 49-3,A032,CTL ,85.5,64.8,5,581.4991662,1056.606822,222.971018,,,0.003399187,0.099936204,,,0.000256863,186.9141998,229.2902542,2.19819835,162.2401934,318.6103121,69.29476138,0.017620481,293.3687693,154.3643807,0.292175746
HUVEC 49-3,A033,CTL ,82.9,59.4,3.31,246.2452948,459.4208115,112.1175556,,,0.004471805,0.137536038,106.9934019,325.9730167,0.000281482,80.91427395,152.4996396,2.725191433,86.95782683,101.435013,57.13587761,0.02309387,81.64604063,116.4393571,0.380296992
HUVEC 49-3,A034,CTL ,84.4,56.1,3.47,941.3310454,343.9192957,189.9763357,27.91797454,22.61158888,0.003266086,0.098583222,92.30073039,323.8641921,0.000159906,80.42989972,324.1128961,2.785519054,118.446211,189.090567,66.97405966,0.01747668,142.4404025,142.6738016,0.265743687
